DESCRIBES HOW TO PREPARE A SEWING PROJECT,100,SEWING,NOTES:
INTRODUCES OBJECTIVES OF THIS ASSIGNMENT,0,,Waiting for more material. 
DOCUMENTS HOW TO WORK WITH MACHINE,0,,You do not need to show all the steps... you can say:
CLARITY & QUALITY  OF TEXT & IMAGE,0,,"""I followed these steps in setting up the machine..."" and link to a video, student page, or instructable on "
DETAIL - PRESENTS MULTIPLE STEPS  ,0,,"the setup for that specific machine. You should add detail to by taking photos and documenting specific settings,  "
MAKES CONNECTIONS TO FINAL PROJECT,0,,"elements, or issues that you need to remember for the next time you use the machine."
REFERENCES SOURCES OF HELP & SUPPORT,0,, 
DESCRIBES MATERIALS ,0,,
REFLECTS ON CREATIVE PROCESS & BEST PRACTICES,0,,
DESCRIBES HOW TO WORK WITH A TEMPLATE,0,,
PROVIDES SPECIFIC MACHINE SETTINGS,0,,
,9%,,
